data,trip_creation_time,route_schedule_uuid,route_type,trip_uuid,source_center,source_name,destination_center,destination_name,od_start_time,od_end_time,start_scan_to_end_scan,is_cutoff,cutoff_factor,cutoff_timestamp,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,factor,segment_actual_time,segment_osrm_time,segment_osrm_distance,segment_factor,delivery_time_hours,duplicate_flag,same_city
training,53:42.6,thanos::sroute:4029a8a2-6c74-4b7e-a6d8-f9e069fbcea9,FTL,trip-153738682262223442,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),25:35.0,34:55.8,3249,TRUE,726,21-09-2018 17:30,728.6263509,1104,677,867.4329,1.630723781,24,60,57.5247,0.4,54.15576529,1,0
test,35:40.5,thanos::sroute:6d47cbd0-4a47-428a-bd44-c437458c5e1c,Carting,trip-153834334049646174,IND643217AAA,Kotagiri_CroslySRT_D (Tamil Nadu),IND643001AAA,Ooty_Davisdle_D (Tamil Nadu),47:04.7,49:24.5,62,FALSE,16,01-10-2018 01:56,16.06873539,50,51,42.6113,0.980392157,17,65,57.4323,0.261538462,1.038832929,0,0
training,20:31.3,thanos::sroute:bcce7b68-e962-4a29-af24-167e3e926d04,FTL,trip-153765483126993361,IND781018AAB,Guwahati_Hub (Assam),IND110037AAM,Delhi_Airport_H (Delhi),20:31.3,25:33.2,3425,TRUE,902,23-09-2018 22:53,903.5914546,1898,790,1069.0022,2.402531646,27,19,27.6879,1.421052632,57.08386727,1,0
training,11:31.5,thanos::sroute:db3c468a-dd4e-4646-ae40-eb4d1a4d23d7,FTL,trip-153782709152920993,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND411033AAA,Pune_Tathawde_H (Maharashtra),11:31.5,49:46.3,398,TRUE,88,25-09-2018 02:45,88.03928617,118,80,108.365,1.475,32,19,25.0367,1.684210526,6.637429703,1,0
training,17:00.0,thanos::sroute:4d5c8dc5-b60e-4450-a4fe-c83bd859405f,Carting,trip-153727661995707913,IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),17:00.0,52:03.3,215,FALSE,40,18-09-2018 14:09,40.05050162,110,58,46.6624,1.896551724,10,5,2.6077,2,3.58426406,1,0
training,51:56.7,thanos::sroute:360c8c95-b138-43ad-a0b5-f615fe1eba15,FTL,trip-153714551666313028,IND713148AAA,Panagarh_Central_D_1 (West Bengal),IND713128AAB,Guskhara_Itachnda_D (West Bengal),49:52.8,31:04.3,101,FALSE,28,17-09-2018 05:01,28.67440547,72,34,39.7217,2.117647059,28,8,11.7944,3.5,1.686545928,1,0
training,01:16.2,thanos::sroute:d44a95bc-1d78-49aa-a987-ea5763aa2cbe,FTL,trip-153793807615959201,IND411033AAA,Pune_Tathawde_H (Maharashtra),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),01:16.2,15:13.4,1933,TRUE,528,27-09-2018 00:46,528.1539565,747,524,682.7554,1.425572519,21,25,24.0863,0.84,32.23256028,1,0
training,13:43.4,thanos::sroute:da9dfb1c-ec9b-40c6-86dd-07fcf69c958e,FTL,trip-153721523979327592,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND413002AAA,Solapur_Central_I_2 (Maharashtra),13:43.4,50:03.9,816,TRUE,220,18-09-2018 04:29,220.2199707,312,177,247.3617,1.762711864,42,22,28.7651,1.909090909,13.60569509,1,0
training,55:08.5,thanos::sroute:9ded028c-c5e5-48f8-90f4-1669fef15db0,FTL,trip-153741570846660098,IND501359AAE,Hyderabad_Shamshbd_H (Telangana),IND533106AAA,Rajamundry_AtoNgrRd_I (Andhra Pradesh),55:08.5,21:38.6,746,TRUE,66,20-09-2018 13:31,66.81735297,164,55,77.3838,2.981818182,42,16,23.319,2.625,12.44171427,1,0
training,56:16.2,thanos::sroute:c5b68ed0-0bbf-4b00-838d-274933acb6bf,Carting,trip-153673177622009920,IND302014AAB,Jaipur_Central_I_7 (Rajasthan),IND302006AAA,Jaipur (Rajasthan),56:16.2,27:24.6,151,FALSE,12,12-09-2018 07:49,12.10678742,29,18,17.8243,1.611111111,3,14,9.3943,0.214285714,2.51898123,0,0
training,02:58.6,thanos::sroute:df8d7098-cfd9-48f3-9bf3-a3144a434a55,FTL,trip-153688697864318554,IND411033AAA,Pune_Tathawde_H (Maharashtra),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),02:58.6,24:06.7,1461,TRUE,506,14-09-2018 13:36,506.107409,668,417,570.6874,1.601918465,26,21,27.644,1.238095238,24.35223582,0,0
training,01:49.2,thanos::sroute:9d80b949-2d55-4578-b0ee-881d4bfcc097,FTL,trip-153744850923460655,IND712311AAA,Kolkata_Dankuni_HB (West Bengal),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),01:49.2,06:51.0,2705,TRUE,132,22-09-2018 05:41,132.2179731,262,179,206.7365,1.463687151,52,82,80.6959,0.634146341,45.08381414,1,0
test,40:23.2,thanos::sroute:870bead8-6c8a-458f-b4d8-658de44bc675,FTL,trip-153853802323338798,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND834002AAB,Ranchi_Hub (Jharkhand),40:23.2,02:02.7,1761,TRUE,858,03-10-2018 09:56,858.0240099,1304,714,1007.5551,1.826330532,27,19,26.7728,1.421052632,29.36096073,1,0
training,23:10.8,thanos::sroute:32d7b4f2-b226-4919-a152-2fbd0d1bd99a,Carting,trip-153790339081089293,IND741156AAA,Plassey_BtaiRoad_D (West Bengal),IND742102AAB,Berhampore_Central_I_2 (West Bengal),48:57.7,41:44.0,172,TRUE,18,26-09-2018 08:01,19.74718178,60,17,23.4557,3.529411765,39,7,10.1598,5.571428571,2.879529415,0,0
training,56:02.3,thanos::sroute:af98cdd4-12f0-4db2-9413-0caca8c783a8,FTL,trip-153794496234909575,IND461111AAA,Itarsi_DivrsnRd_D (Madhya Pradesh),IND460001AAA,Betul_PatelWrd_D (Madhya Pradesh),39:37.3,25:10.2,165,TRUE,44,26-09-2018 12:38,44.58407427,72,36,49.2097,2,40,18,25.6987,2.222222222,2.759135111,0,0
training,41:59.7,thanos::sroute:2388fa83-d946-4a05-86eb-714912952893,Carting,trip-153706931965332853,IND224141AAB,Gosainganj_Pakrela_D (Uttar Pradesh),IND224122AAA,Akbarpur_Auliyapr_D (Uttar Pradesh),48:52.3,33:50.7,104,TRUE,18,16-09-2018 12:33,18.75494147,43,15,21.1792,2.866666667,13,6,9.0717,2.166666667,1.749558373,0,0
training,35:00.3,thanos::sroute:cd69fb4c-8a2d-4885-b9ff-c4819c6582a7,FTL,trip-153746130028342387,IND472001AAA,Tikamgarh_MndiRoad_D (Madhya Pradesh),IND485001AAC,Satna_Central_I_2 (Madhya Pradesh),53:10.3,11:32.7,438,TRUE,198,21-09-2018 06:14,205.4345548,405,183,239.5237,2.213114754,51,28,31.3638,1.821428571,7.306222048,1,0
training,33:30.5,thanos::sroute:54a7c356-361d-4e74-9ee7-d420c3712de6,FTL,trip-153774201053841850,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND302014AAA,Jaipur_Hub (Rajasthan),33:30.5,38:17.1,3004,TRUE,594,25-09-2018 06:11,594.8471806,1040,545,735.6379,1.908256881,33,18,26.2474,1.833333333,50.07960775,1,0
training,34:56.5,thanos::sroute:a1b25549-1e77-498f-8538-00292e5bd5a2,FTL,trip-153737849650943585,IND751002AAB,Bhubaneshwar_Hub (Orissa),IND712311AAA,Kolkata_Dankuni_HB (West Bengal),48:49.0,54:19.1,1085,TRUE,330,21-09-2018 14:17,331.144185,817,294,393.0005,2.778911565,25,16,23.9806,1.5625,18.09168779,1,0
training,30:39.0,thanos::sroute:c321b367-aaaa-4a05-96bf-452a22f50609,Carting,trip-153696784117362845,IND401104AAA,Mumbai_MiraRd_IP (Maharashtra),IND401208AAA,Nalasopara (Maharashtra),30:39.0,48:25.5,77,TRUE,9,15-09-2018 00:13,9.78291835,26,11,14.3436,2.363636364,26,11,14.3436,2.363636364,1.296242216,0,0
training,57:27.4,thanos::sroute:3def24ea-f80d-4d49-b450-720dc5d13d04,FTL,trip-153736544738083508,IND395023AAA,Surat_HUB (Gujarat),IND110037AAM,Delhi_Airport_H (Delhi),57:27.4,06:10.0,2048,TRUE,264,20-09-2018 15:38,264.5861471,449,228,299.4926,1.969298246,27,18,26.1277,1.5,34.14517853,1,0
test,57:30.1,thanos::sroute:fee28815-45f7-4377-8879-0d13d2d34708,FTL,trip-153825105010477908,IND533106AAA,Rajamundry_AtoNgrRd_I (Andhra Pradesh),IND533262AAA,Draksharamam_Anaipeta_D (Andhra Pradesh),57:30.1,30:10.6,212,TRUE,22,29-09-2018 22:35,23.15027835,41,24,26.6249,1.708333333,41,24,26.6249,1.708333333,3.544586821,1,0
training,05:47.2,thanos::sroute:95390c11-b18d-4f05-84c3-0e2e864b7da1,FTL,trip-153721834717774994,IND530012AAA,Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),IND501359AAE,Hyderabad_Shamshbd_H (Telangana),51:55.1,13:01.6,981,TRUE,308,19-09-2018 04:33,308.4840005,503,252,354.9608,1.996031746,57,21,30.2899,2.714285714,16.35181663,1,0
training,06:15.6,thanos::sroute:cddde595-4764-4102-b5e2-2687cde064fa,FTL,trip-153748837556800825,IND501359AAE,Hyderabad_Shamshbd_H (Telangana),IND751002AAB,Bhubaneshwar_Hub (Orissa),06:15.6,05:38.9,1799,TRUE,154,22-09-2018 02:33,154.5734036,198,120,170.3734,1.65,10,7,11.1806,1.428571429,29.98980524,1,0
test,36:52.7,thanos::sroute:14c55592-ba2e-4f72-820c-3a22334137cd,FTL,trip-153803021267734577,IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),53:53.2,01:45.1,1147,TRUE,550,28-09-2018 22:56,550.2869987,903,561,780.7378,1.609625668,48,26,37.0503,1.846153846,19.13108414,1,0
test,44:33.8,thanos::sroute:a9af5fc9-2972-4795-b7a7-9fd3cc07c942,FTL,trip-153805947380180455,IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),IND142001AAB,Moga_DPC (Punjab),44:33.8,54:07.5,369,TRUE,132,27-09-2018 17:28,132.5192781,199,103,143.555,1.932038835,36,16,23.4361,2.25,6.159369241,1,0
training,17:28.5,thanos::sroute:5a4de5b6-dae8-4836-b764-491712d8bcea,Carting,trip-153676184847965228,IND000000ACT,Delhi_Gateway_HB (Delhi),IND131028AAB,Sonipat_Kundli_H (Haryana),51:53.7,08:43.5,256,TRUE,18,12-09-2018 18:11,18.68110784,46,30,21.0427,1.533333333,26,7,7.3886,3.714285714,4.2804993,0,0
training,11:48.9,thanos::sroute:b43ec86d-59c1-452c-b4a9-807d3574e5bf,FTL,trip-153740590892881451,IND411033AAA,Pune_Tathawde_H (Maharashtra),IND501359AAE,Hyderabad_Shamshbd_H (Telangana),11:48.9,41:14.1,1109,TRUE,440,20-09-2018 07:18,441.0890835,697,417,552.8299,1.67146283,26,16,22.9286,1.625,18.49032921,1,0
training,03:51.6,thanos::sroute:69633991-6513-4476-9b36-99f82c3bd929,FTL,trip-1537729431604671000,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND444005AAB,Akola_Gaurkshn_I (Maharashtra),03:51.6,12:52.8,1209,TRUE,242,24-09-2018 05:11,244.1750917,580,214,301.1481,2.710280374,8,9,13.5176,0.888888889,20.15034356,1,0
training,26:40.7,thanos::sroute:76951383-1608-44e4-a284-46d92e82a8b5,FTL,trip-153756160073825275,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),26:40.7,07:38.9,220,FALSE,40,21-09-2018 22:41,40.61842094,74,55,53.2518,1.345454545,42,29,26.9178,1.448275862,3.68282664,1,0
training,02:49.3,thanos::sroute:25dd334d-e30d-4cfa-b6e8-192bcfe84fcc,FTL,trip-153750616930299040,IND712311AAA,Kolkata_Dankuni_HB (West Bengal),IND751002AAB,Bhubaneshwar_Hub (Orissa),02:49.3,06:57.9,724,TRUE,44,21-09-2018 15:55,44.82793733,65,36,51.1043,1.805555556,29,17,25.3609,1.705882353,12.06905966,1,0
test,33:49.4,thanos::sroute:5dab33f4-f9fa-4e1f-82d7-f94a440e6ab0,Carting,trip-153842242935704281,IND673305AAA,Koyilandy_Pshrikvu_D (Kerala),IND673104AAA,Vadakara_Mandodi_D (Kerala),35:05.1,20:45.7,45,FALSE,19,02-10-2018 00:35,19.69367635,42,23,22.0462,1.826086957,12,1,1.5051,12,0.761287431,1,0
training,08:42.8,thanos::sroute:00a74fab-a3ac-44df-b83a-cbf181b4cd94,FTL,trip-153787732283908843,IND853204AAA,Naugchia_Vijayght_D (Bihar),IND851204AAA,Khagaria_GodamDPP_D (Bihar),47:10.6,49:52.8,122,FALSE,59,58:21.4,59.45742733,101,46,65.065,2.195652174,31,12,17.0667,2.583333333,2.045063778,0,0
training,19:39.0,thanos::sroute:2bfa1b7a-b56e-4482-b96e-7cf93619e9cb,Carting,trip-153689157897318487,IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu),IND600110AAA,Chennai_Madhavaram_L (Tamil Nadu),19:39.0,22:46.7,243,TRUE,18,14-09-2018 05:29,20.14452387,31,25,22.4466,1.24,11,10,11.3453,1.1,4.052136588,0,0
training,24:28.1,thanos::sroute:34d22645-7636-4543-90f0-fc444f3e319b,FTL,trip-153704666810685062,IND135001AAA,YamunaNagar_DC (Haryana),IND173025AAA,PaontSahib_Gurudwar_D (Himachal Pradesh),43:26.1,10:26.8,147,FALSE,45,16-09-2018 07:08,45.68925414,111,46,58.8717,2.413043478,2,1,0.991,2,2.450188511,1,0
training,33:19.1,thanos::sroute:4029a8a2-6c74-4b7e-a6d8-f9e069fbcea9,FTL,trip-153773119907185732,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),05:17.7,37:01.1,2731,TRUE,1122,25-09-2018 03:33,1128.218416,1679,1037,1374.9672,1.619093539,72,50,71.9986,1.44,45.52871752,1,0
training,36:18.5,thanos::sroute:25dd334d-e30d-4cfa-b6e8-192bcfe84fcc,FTL,trip-153680977852943421,IND751002AAB,Bhubaneshwar_Hub (Orissa),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),41:26.1,27:06.8,2445,TRUE,946,13-09-2018 22:57,946.6471681,2049,852,1141.9992,2.404929577,27,20,29.4734,1.35,40.76130396,1,0
training,43:24.1,thanos::sroute:d26c2fa7-68f9-4eb7-ba6e-ef9eb670aa6a,FTL,trip-153748340414198209,IND502220AAC,Zahirabad_Mohim_D (Telangana),IND501359AAE,Hyderabad_Shamshbd_H (Telangana),53:39.1,51:49.3,178,FALSE,96,06:50.3,96.33915545,160,128,147.1224,1.25,25,60,50.8755,0.416666667,2.969504058,1,0
training,09:07.0,thanos::sroute:c12bc563-8a95-420f-87fa-41779eeadeb6,Carting,trip-153750294695556943,IND401501AAA,Boisar_OstwlEmp_D (Maharashtra),IND401602AAA,Dahanu_KetyDPP_D (Maharashtra),09:07.0,06:55.0,117,TRUE,18,21-09-2018 05:17,18.18866728,48,24,26.2305,2,28,11,11.9282,2.545454545,1.963348686,0,0
test,03:01.3,thanos::sroute:80bf5118-9538-4509-9d53-679a0c5f5e59,Carting,trip-153823338126246789,IND600016AAB,Chennai_Alandur_C (Tamil Nadu),IND600044AAC,Chennai_Chrompet_PC (Tamil Nadu),03:01.3,31:04.5,148,TRUE,27,29-09-2018 16:26,27.4852617,60,29,33.9678,2.068965517,27,11,12.1704,2.454545455,2.467567125,0,0
training,03:52.7,thanos::sroute:ee1471ae-09d5-462c-851c-8a03020c6ec7,Carting,trip-153714983267647379,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND110095AAB,Delhi_Jhilmil_L (Delhi),03:52.7,09:43.2,365,TRUE,27,17-09-2018 05:47,27.64700242,122,40,33.1407,3.05,62,32,30.4176,1.9375,6.09735568,0,0
test,11:13.1,thanos::sroute:c169504b-1d9c-420a-ab80-e7d96c017c76,Carting,trip-153826987308367509,IND792103AAB,Namsai_HelipadRD_D (Arunachal Pradesh),IND792001AAA,Tezu_Farmnala_D (Arunachal Pradesh),23:57.7,47:36.6,83,TRUE,9,01-10-2018 06:31,10.33568937,11,8,11.9925,1.375,11,8,11.9925,1.375,1.394138902,1,0
test,41:36.5,thanos::sroute:3592c86e-c3d1-429b-917a-ebe9051215dc,FTL,trip-153805929645698249,IND712311AAA,Kolkata_Dankuni_HB (West Bengal),IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),54:31.1,57:37.8,3363,TRUE,1210,30-09-2018 13:44,1210.214852,2178,1081,1472.8136,2.01480111,57,92,87.3739,0.619565217,56.05186936,1,0
test,43:19.3,thanos::sroute:162f9a67-5ebe-4338-8450-1c6d57d2c7b1,FTL,trip-153841939934496849,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND712311AAA,Kolkata_Dankuni_HB (West Bengal),31:13.2,54:11.9,2542,FALSE,1300,02-10-2018 05:50,1300.710602,2318,1016,1428.0634,2.281496063,0,0,0.6641,-1,42.38297668,1,0
training,56:14.2,thanos::sroute:bcce7b68-e962-4a29-af24-167e3e926d04,FTL,trip-153705217420105354,IND781018AAB,Guwahati_Hub (Assam),IND110037AAM,Delhi_Airport_H (Delhi),56:14.2,26:27.1,3510,TRUE,1386,16-09-2018 03:55,1386.097976,3203,1231,1691.0329,2.601949634,35,21,30.8678,1.666666667,58.50358027,1,0
training,51:04.6,thanos::sroute:15c921f8-8a40-44cc-95ac-59f93d25f780,FTL,trip-153706266462398194,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND751002AAB,Bhubaneshwar_Hub (Orissa),51:04.6,27:24.0,2376,TRUE,22,17-09-2018 16:48,22.20013156,25,17,25.1922,1.470588235,25,17,25.1922,1.470588235,39.60537766,1,0
test,34:53.5,thanos::sroute:366da0f3-1979-4793-973f-27da63568435,FTL,trip-153842249346496633,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND411033AAA,Pune_Tathawde_H (Maharashtra),28:15.8,34:08.1,1325,TRUE,572,02-10-2018 14:44,573.8775624,819,492,674.312,1.664634146,33,19,28.2634,1.736842105,22.09785917,1,0
training,02:24.8,thanos::sroute:b692be92-80ce-4280-989f-5d98ecab059c,Carting,trip-153687254478933100,IND742401AAA,Ghanashyampur_NditaDPP_D (West Bengal),IND742101AAC,Baharampur_Chuanpur_I (West Bengal),19:43.7,40:03.3,260,FALSE,41,20:11.6,41.00203641,223,66,59.1844,3.378787879,51,4,4.1792,12.75,4.338789953,1,0
training,01:47.5,thanos::sroute:d0cd2cb2-ce42-4103-b999-f8899e9440f7,FTL,trip-153749170748984950,IND431603AAA,Nanded_Aswningr_I (Maharashtra),IND431708AAA,Loha_SivjiCWK_D (Maharashtra),01:47.5,46:49.1,105,TRUE,22,21-09-2018 02:13,24.34029914,33,17,24.743,1.941176471,33,17,24.743,1.941176471,1.750433726,1,0
training,12:34.8,thanos::sroute:1a6e5ba3-fdca-4de9-9225-f796b5d28c3a,FTL,trip-153781275483098963,IND126112AAA,Safidon_HatRDDPP_D (Haryana),IND131028AAB,Sonipat_Kundli_H (Haryana),48:38.2,20:28.9,331,TRUE,22,25-09-2018 12:38,22.45995805,30,21,25.0857,1.428571429,30,21,25.0857,1.428571429,5.53076011,0,0
training,47:12.6,thanos::sroute:2bfa1b7a-b56e-4482-b96e-7cf93619e9cb,Carting,trip-153749803263567875,IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu),IND600110AAA,Chennai_Madhavaram_L (Tamil Nadu),47:12.6,46:22.0,299,TRUE,18,21-09-2018 05:19,21.08680152,42,23,23.327,1.826086957,14,10,11.2516,1.4,4.985937165,0,0
training,07:32.6,thanos::sroute:1c165ebe-bad3-49b8-9756-087ec45c873a,FTL,trip-153672525257659165,IND524101AAB,Gudur_Bngisheb_D (Andhra Pradesh),IND517501AAB,Tirupati_Balajicly_I (Andhra Pradesh),27:04.1,14:55.7,167,TRUE,22,12-09-2018 11:23,22.39570504,46,24,27.5546,1.916666667,46,24,27.5546,1.916666667,2.79767141,1,0
test,51:31.2,thanos::sroute:f6d1ba62-76a2-4dba-83ec-3ac0803825aa,FTL,trip-153817149119240375,IND457226AAA,Jaora_RtlamNka_D (Madhya Pradesh),IND382430AAB,Ahmedabad_East_H_1 (Gujarat),19:35.3,37:52.5,558,TRUE,176,29-09-2018 12:52,176.7329548,277,151,214.0413,1.834437086,25,16,23.7846,1.5625,9.304789539,0,0
test,39:19.4,thanos::sroute:d0fccde3-15ca-4434-ac51-949f8abd5aaf,Carting,trip-153805555944969520,IND500050AAA,Patancheru_Ameenpur_I (Telangana),IND501359AAE,Hyderabad_Shamshbd_H (Telangana),39:19.4,20:25.2,281,TRUE,9,27-09-2018 14:50,9.372613743,18,9,12.9685,2,18,9,12.9685,2,4.684935244,0,0
test,13:53.7,thanos::sroute:e798a910-1f3b-4eab-8dca-a18ec32ffafe,FTL,trip-153836003366579207,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh),13:53.7,32:57.9,1219,TRUE,374,01-10-2018 10:20,378.9544676,717,392,539.0409,1.829081633,57,33,34.9968,1.727272727,20.31783357,1,0
training,05:33.8,thanos::sroute:21dcaeeb-fa40-45f1-85e9-0b10815d794d,FTL,trip-153758193383565439,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND600056AAB,MAA_Poonamallee_HB (Tamil Nadu),36:23.3,55:55.1,739,TRUE,154,23-09-2018 11:42,154.2460526,259,155,183.0428,1.670967742,31,25,27.5148,1.24,12.32550929,1,0
training,02:37.1,thanos::sroute:cddde595-4764-4102-b5e2-2687cde064fa,FTL,trip-153714615707596721,IND501359AAE,Hyderabad_Shamshbd_H (Telangana),IND712311AAA,Kolkata_Dankuni_HB (West Bengal),02:37.1,14:00.7,2291,TRUE,814,17-09-2018 18:11,816.4735625,1162,671,925.7761,1.731743666,23,18,25.5669,1.277777778,38.18988607,1,0
test,46:03.4,thanos::sroute:0456b740-1dad-4929-bbe0-87d8843f5a10,FTL,trip-153858876340944305,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),46:03.4,46:59.7,4440,TRUE,88,06-10-2018 16:15,88.67787368,205,107,110.4393,1.91588785,45,26,28.3109,1.730769231,74.01564278,1,0
training,26:41.7,thanos::sroute:911f6f84-2799-473b-8702-b5e367630375,FTL,trip-153796480165411664,IND382430AAB,Ahmedabad_East_H_1 (Gujarat),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),26:41.7,26:20.1,1919,TRUE,374,27-09-2018 11:56,374.0841536,509,309,424.4517,1.647249191,59,19,27.0729,3.105263158,31.99401295,1,0
training,05:17.3,thanos::sroute:390658c4-6a5e-46b9-b208-a07f9ee1ecf1,Carting,trip-153673591727224910,IND110037AAM,Delhi_Airport_H (Delhi),IND110020AAB,OK_RPC (Delhi),05:17.3,28:21.9,263,FALSE,19,12-09-2018 08:41,19.84975372,94,27,28.2761,3.481481481,2,1,1.5528,2,4.384608302,0,0
